"species","long","lat"
"Viverra tangalunga",118.537760527973,5.19611689224032
"Viverra tangalunga",118.505428583338,5.22528772347323
"Viverra tangalunga",118.551975233511,5.25421225414824
"Viverra tangalunga",118.532613107207,5.29521333414838
"Viverra tangalunga",117.762785438311,5.07396442613972
"Viverra tangalunga",117.767012762129,5.08621647739982
"Viverra tangalunga",117.767828197181,5.08157501340659
"Viverra tangalunga",117.774492752627,5.07983025594785
"Viverra tangalunga",117.786058181834,5.08012382690379
"Viverra tangalunga",118.002171030678,5.40834547148745
"Viverra tangalunga",118.022592228108,5.41193846141675
"Viverra tangalunga",118.097885944494,5.41503576694433
"Viverra tangalunga",118.109687801396,5.46267141880804
"Viverra tangalunga",117.26,5.26
"Viverra tangalunga",117.2212,5.26
"Viverra tangalunga",117.32,5.2348
"Viverra tangalunga",117.28,5.2348
"Viverra tangalunga",117.2348,5.2348
"Viverra tangalunga",117.22,5.2206
"Viverra tangalunga",117.2554,5.2212
"Viverra tangalunga",117.2736,5.2206
"Viverra tangalunga",117.2936,5.2148
"Viverra tangalunga",117.2536,5.2112
"Viverra tangalunga",117.34,5.213
"Viverra tangalunga",117.24,5.2
"Viverra tangalunga",117.32,5.2
"Viverra tangalunga",117.28,5.1948
"Viverra tangalunga",117.2548,5.1836
"Viverra tangalunga",117.22,5.1818
"Viverra tangalunga",117.3,5.1824
"Viverra tangalunga",117.32,5.1624
"Viverra tangalunga",117.24,5.16
"Viverra tangalunga",117.28,5.1536
"Viverra tangalunga",117.2,5.2024
"Viverra tangalunga",117.2024,5.24
"Viverra tangalunga",117.18,5.22
"Viverra tangalunga",117.1536,5.2
"Viverra tangalunga",117.1736,5.2536
"Viverra tangalunga",117.16,5.24
"Viverra tangalunga",117.16,5.2824
"Viverra tangalunga",117.1212,5.2948
"Viverra tangalunga",118.4962923024,5.18795083420031
"Viverra tangalunga",118.506120258107,5.20892642960423
"Viverra tangalunga",118.507329985264,5.20554127722625
"Viverra tangalunga",117.7875,4.5
"Viverra tangalunga",114.9,-1.12
"Viverra tangalunga",114.9,-1.12
"Viverra tangalunga",114.9,-1.12
"Viverra tangalunga",114.9,-1.12
"Viverra tangalunga",114.9,-1.12
"Viverra tangalunga",114.9,-1.12
"Viverra tangalunga",115.633333333333,-0.33
"Viverra tangalunga",116.33,2.56
"Viverra tangalunga",116.33,2.56
"Viverra tangalunga",116.33,2.56
"Viverra tangalunga",116.58,2.78
"Viverra tangalunga",116.033333,0.566667
"Viverra tangalunga",117.494666,4.415102
"Viverra tangalunga",116.716667,6.083333
"Viverra tangalunga",117.795839,4.9697
"Viverra tangalunga",117.5816111,5.290666667
"Viverra tangalunga",117.5598333,5.306333333
"Viverra tangalunga",117.5915833,5.313833333
"Viverra tangalunga",117.5915833,5.313833333
"Viverra tangalunga",117.5915833,5.313833333
"Viverra tangalunga",117.5915833,5.313833333
"Viverra tangalunga",117.5915833,5.313833333
"Viverra tangalunga",117.5945833,5.323972222
"Viverra tangalunga",117.5945833,5.323972222
"Viverra tangalunga",117.5945833,5.323972222
"Viverra tangalunga",117.5945833,5.323972222
"Viverra tangalunga",117.5945833,5.323972222
"Viverra tangalunga",117.5945833,5.323972222
"Viverra tangalunga",117.5793611,5.324055556
"Viverra tangalunga",117.5793611,5.324055556
"Viverra tangalunga",117.5793611,5.324055556
"Viverra tangalunga",117.5793611,5.324055556
"Viverra tangalunga",117.5794444,5.334
"Viverra tangalunga",117.5794444,5.334
"Viverra tangalunga",117.5794444,5.334
"Viverra tangalunga",117.5794444,5.334
"Viverra tangalunga",117.5794444,5.334
"Viverra tangalunga",117.5671111,5.334944444
"Viverra tangalunga",117.5671111,5.334944444
"Viverra tangalunga",117.5671111,5.334944444
"Viverra tangalunga",117.5671111,5.334944444
"Viverra tangalunga",117.5671111,5.334944444
"Viverra tangalunga",117.5537222,5.337222222
"Viverra tangalunga",117.5537222,5.337222222
"Viverra tangalunga",117.5537222,5.337222222
"Viverra tangalunga",117.5537222,5.337222222
"Viverra tangalunga",117.5537222,5.337222222
"Viverra tangalunga",117.5741111,5.346333333
"Viverra tangalunga",118.66,5.56
"Viverra tangalunga",118.66,5.56
"Viverra tangalunga",118.4,5.614
"Viverra tangalunga",117.64,4.95
"Viverra tangalunga",117.64,4.95
"Viverra tangalunga",117.64,4.95
"Viverra tangalunga",117.64,4.95
"Viverra tangalunga",117.64,4.95
"Viverra tangalunga",117.71,5
"Viverra tangalunga",117.71,5
"Viverra tangalunga",117.71,5
"Viverra tangalunga",117.71,5
"Viverra tangalunga",117.71,5
"Viverra tangalunga",117.58865,5.27417
"Viverra tangalunga",117.58865,5.27417
"Viverra tangalunga",117.59942,5.28634
"Viverra tangalunga",117.59943,5.28635
"Viverra tangalunga",117.59944,5.28636
"Viverra tangalunga",117.0404167,5.1027333333
"Viverra tangalunga",117.0404167,5.1027333333
"Viverra tangalunga",115.406111111111,3.86638888888889
"Viverra tangalunga",115.412777777778,3.91305555555555
"Viverra tangalunga",118.540277777778,5.171388888888
"Viverra tangalunga",117.532,5.153
"Viverra tangalunga",117,5.17
"Viverra tangalunga",117.1536,5.2
"Viverra tangalunga",117.5,5
"Viverra tangalunga",118.77,5.42
"Viverra tangalunga",118.5,5.5
"Viverra tangalunga",118.655277777778,5.202777777777
"Viverra tangalunga",117.7,4.95
"Viverra tangalunga",117.63,4.95
"Viverra tangalunga",117.75,4.9
"Viverra tangalunga",117.82,4.96
"Viverra tangalunga",116.830444,-1.124333
"Viverra tangalunga",117.027472,-0.855306
"Viverra tangalunga",117.028528,-0.8575
"Viverra tangalunga",117.489694,0.544056
"Viverra tangalunga",117.489694,0.544056
"Viverra tangalunga",117.465194,0.568722
"Viverra tangalunga",115.398444,-0.058667
"Viverra tangalunga",115.398444,-0.058667
