ch,species,sex,wing_mm,fat,muscle,weight_g,blood_infection
111,RS,f,126,1,1,18.4,yes
111,RS,f,123,1,0,18.3,yes
100,RS,f,121,2,1,18,yes
010,RS,m,125,1,1,20,yes
100,RS,m,122,1,0,19.3,no
111,RS,m,127,1,1,18.5,yes
100,RS,m,126,1,1,18.5,yes
110,RS,f,123,2,1,17.1,yes
100,RS,m,134,0,2,19.7,yes
100,RS,f,122,0,1,18.3,yes
100,RS,f,122,3,2,20.2,yes
100,RS,m,128,1,1,18.7,yes
100,RS,m,124,2,2,20.3,no
100,RS,m,129,1,1,21.2,no
100,RS,f,121,0,1,18.6,yes
100,RS,f,125,0,0,19.4,yes
110,RS,f,130,2,2,20.1,yes
100,RS,f,122,2,2,21.5,yes
100,RS,m,123,1,2,18.1,yes
110,RS,m,123,1,1,18.1,yes
111,RS,f,127,1,1,18.9,yes
100,RS,f,129,0,1,19,yes
100,RS,m,125,1,2,18.7,yes
110,RS,f,128,1,1,17.6,yes
100,RS,m,126,0,1,19.5,yes
100,RS,f,123,2,1,19,yes
111,RS,f,124,2,1,20.2,yes
100,RS,f,122,1,2,18.8,yes
100,RS,m,127,0,1,19.3,no
110,RS,f,121,0,1,18.1,yes
101,RS,f,125,1,2,22.5,yes
100,RS,m,126,1,1,18,yes
100,RS,m,126,1,1,18.9,yes
101,RS,m,127,1,1,19.5,yes
100,RS,m,114,1,2,17.8,yes
110,RS,m,119,2,2,18.3,yes
100,RS,f,126,2,2,21,yes
100,RS,m,123,0,1,18.5,yes
110,RS,f,126,2,2,22,yes
100,RS,f,124,3,2,22.8,yes
100,RS,m,129,2,2,19.2,yes
100,RS,m,125,2,2,19.9,yes
100,RS,f,123,2,3,23.4,yes
100,RS,m,122,1,1,17.7,yes
101,RS,f,123,3,1,20.3,yes
100,RS,m,123,1,1,17.2,yes
100,RS,m,118,0,0,18.1,yes
110,RS,f,124,2,1,19.9,yes
111,RS,f,121,0,1,18.4,yes
100,RS,f,128,2,2,22.6,yes
111,RS,m,123,0,1,19.7,yes
100,RS,m,123,1,1,19,yes
100,RS,m,130,0,1,20.5,yes
100,RS,m,130,0,1,NA,yes
100,RS,f,123,0,1,NA,yes
110,MS,m,111,0,1,17.8,yes
100,RS,m,113,1,2,21,yes
111,MS,m,114,1,1,20.5,yes
010,MS,m,113,3,3,17.7,no
100,RS,f,122,2,1,21.2,yes
100,RS,f,121,2,1,19.8,yes
110,RS,m,128,0,1,18.3,yes
110,RS,m,129,0,1,19.6,yes
110,RS,m,122,0,1,18.3,yes
100,RS,m,117,0,1,18.1,yes
100,RS,f,125,2,1,19.9,yes
100,RS,f,128,2,1,18.9,yes
100,RS,m,101,0,1,17.6,yes
100,RS,m,121,2,1,19,yes
110,RS,f,120,2,2,21,yes
100,RS,m,126,0,1,18.7,yes
100,RS,m,123,0,1,18,yes
110,RS,f,126,0,0,17.5,yes
