observation,id,gps_y,gps_x,date,year,group_size,n_piglets,weather
84,852,52.6141355098976,13.2232289082006,2016-06-22T23:13:00Z,2016,5,NA,sunny
85,878,52.6200370976826,13.2274775272802,2016-07-03T10:16:00Z,2016,5,2,sunny
86,912,52.428467538000604,13.1468372423278,2016-07-15T14:46:00Z,2016,10,4,sunny
87,926,52.5092858099918,13.2436136967138,2016-07-26T22:04:00Z,2016,10,8,sunny
88,959,52.5094621175322,13.2438390022709,2016-09-07T01:07:00Z,2016,10,8,sunny
89,971,52.5083650813452,13.2540313965276,2016-09-17T12:44:00Z,2016,10,8,cloudy
90,1054,52.569359167486,13.2807354694799,2016-11-19T03:02:00Z,2016,5,3,cloudy
91,1081,52.6138619070628,13.2237868076757,2017-01-04T06:12:00Z,2017,1,0,sunny
92,1082,52.6158031473495,13.2372836834387,2017-01-04T06:27:00Z,2017,1,0,stormy
93,1093,52.6169886947191,13.2337217098669,2017-03-01T21:12:00Z,2017,5,0,cloudy
94,1094,52.6140312804478,13.2270483738378,2017-03-01T21:22:00Z,2017,5,0,cloudy
95,1101,52.5100955128613,13.2282285458044,2017-04-12T09:59:00Z,2017,5,3,cloudy
96,1112,52.614461225329,13.2235185867742,2017-06-08T12:06:00Z,2017,10,6,sunny
97,1154,52.4413940820778,13.5910402304128,2017-12-11T05:27:00Z,2017,1,0,snowy
98,1160,52.462223,13.58331,2018-04-14T10:39:00Z,2018,5,3,rainy
99,1162,52.60615,13.3562187,2018-06-04T01:15:00Z,2018,10,6,cloudy
100,1163,52.448406,13.247547,2018-06-05T00:31:00Z,2018,1,0,cloudy
